"id","name","phone number","street address","locality"
1266,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
1267,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
1268,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
1269,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
1270,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
1271,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
1272,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
1273,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
1274,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
1275,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
1276,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
1277,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
1278,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
1279,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
1280,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
1281,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
1681,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
1682,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
1683,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
1684,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
1685,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
1686,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
1687,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
1688,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
1689,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
1690,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
1691,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
1692,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
1693,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
1694,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
1695,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
1696,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
1697,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
1698,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
1699,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
1700,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
1701,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
2101,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
2102,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
2103,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
2104,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
2105,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
2106,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
2107,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
2108,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
2109,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
2110,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
2111,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
2112,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
2113,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
2114,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
2115,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
2116,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
2117,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
2118,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
2119,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
2120,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
2121,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
2401,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
2402,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
2403,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
2404,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
2405,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
2406,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
2407,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
2408,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
2409,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
2410,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
2411,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
2412,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
2413,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
2414,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
2415,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
2416,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
2417,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
2418,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
2419,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
2420,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
2941,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
2942,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
2943,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
2944,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
2945,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
2946,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
2947,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
2948,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
2949,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
2950,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
2951,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
2952,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
2953,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
2954,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
2955,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
2956,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
2957,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
2958,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
2959,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
2960,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
2961,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
3361,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
3362,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
3363,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
3364,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
3365,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
3366,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
3367,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
3368,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
3369,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
3370,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
3371,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
3372,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
3373,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
3374,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
3375,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
3376,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
3377,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
3378,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
3379,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
3380,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
3381,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
3781,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
3782,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
3783,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
3784,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
3785,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
3786,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
3787,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
3788,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
3789,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
3790,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
3791,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
3792,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
3793,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
3794,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
3795,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
3796,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
3797,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
3798,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
3799,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
3800,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
3801,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
4401,"Gumley HaftWhy this ad?","(212) 371-2525","New York, NY",
4402,"Fidy Management Inc.Why this ad?","(718) 696-8380","Brooklyn, NY",
4403,"Leiter Property Management","+1 718-387-3700","Brooklyn, NY, United States",
4404,"Guardian Property Management of Brooklyn, LLC","+1 718-499-4838","Brooklyn, NY, United States",
4405,"Awaye Realty Management, LLC","+1 718-222-9840","Brooklyn, NY, United States",
4406,"Supreme Property Management","+1 718-233-9072","Brooklyn, NY, United States",
4407,"True Management","+1 718-564-8239","Brooklyn, NY, United States",
4408,"Brownstone Management","+1 718-499-6030","Brooklyn, NY, United States",
4409,"LandLord Management","+1 718-536-2642","Brooklyn, NY, United States",
4410,"Goose Property Management LLC","+1 718-246-3734","Brooklyn, NY, United States",
4411,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
4412,"Dependable Property Management","+1 718-968-2876","Brooklyn, NY, United States",
4413,"Goldin Management","+1 718-230-2600","Brooklyn, NY, United States",
4414,"Olympic Property Management","+1 718-855-9060","Brooklyn, NY, United States",
4415,"Apartment Management Associates LLC","+1 718-743-8030","Brooklyn, NY, United States",
4416,"Goldin Property Management","+1 718-230-2600","Brooklyn, NY, United States",
4417,"Waterfront Property Management","+1 718-302-3180","Brooklyn, NY, United States",
4418,"Artex Property Management","+1 718-599-3242","Brooklyn, NY, United States",
4419,"ProRealty Property Management","+1 888-230-1578","Brooklyn, NY, United States",
4420,"Brooklyn Property Managers","+1 718-972-0700","Brooklyn, NY, United States",
4421,"Jalen Management","+1 718-439-0303","Brooklyn, NY, United States",
4422,"Maximus Property Management Services","+1 718-369-2040","Brooklyn, NY, United States",
